"Species","SeenBy","Year"
"Canada Goose","E",2021
"Gadwall","E",2021
"American Wigeon","E",2021
"Mallard","E",2021
"Cinnamon Teal","E",2021
"Northern Shoveler","E",2021
"Ring-necked Duck","E",2021
"Pied-billed Grebe","E",2021
"Eurasian Collared-Dove","L",2021
"Double-crested Cormorant","E",2021
"Great Blue Heron","E",2021
"Bald Eagle","E",2021
"Cooper's Hawk","E",2021
"American Coot","E",2021
"Glaucous-winged Gull","E",2021
"Casian Tern","E",2021
"Anna's Hummingbird","E",2021
"Northern Flicker","L",2021
"American Crow","E",2021
"Steller's Jay","E",2021
"Violet-green Swallow","E",2021
"Black-capped Chickadee","E",2021
"Marsh Wren","E",2021
"Bewick's Wren","E",2021
"American Robin","E",2021
"Yellow-rumped Warbler","E",2021
"White-crowned Sparrow","E",2021
"Song Sparrow","E",2021
"Spotted Towhee","L",2021
"Dark-eyed Junco","L",2021
"Red-winged Blackbird","E",2021
"House Finch","E",2021
"Canada Goose","E",2022
"Cinnamon Teal","E",2022
"Northern Shoveler","E",2022
"Gadwall","E",2022
"Mallard","E",2022
"Green-winged Teal","E",2022
"Ring-necked Duck","E",2022
"Bufflehead","E",2022
"Common Merganser","E",2022
"Pied-billed Grebe","E",2022
"Anna's Hummingbird","E",2022
"Virginia Rail","L",2022
"Glaucous-winged Gull","E",2022
"Double-crested Cormorant","E",2022
"Great Blue Heron","E",2022
"Osprey","L",2022
"Bald Eagle","E",2022
"Steller's Jay","L",2022
"American Crow","E",2022
"Black-capped Chickadee","L",2022
"Tree Swallow","E",2022
"Violet-green Swallow","E",2022
"Barn Swallow","E",2022
"Marsh Wren","L",2022
"American Robin","E",2022
"House Finch","L",2022
"American Goldfinch","E",2022
"Dark-eyed Junco","E",2022
"White-crowned Sparrow","E",2022
"Savannah Sparrow","E",2022
"Song Sparrow","E",2022
"Red-winged Blackbird","E",2022
"Common Yellowthroat","E",2022
"Yellow-rumped Warbler","E",2022
"Canada Goose","E",2023
"Wood Duck","E",2023
"Northern Shoveler","E",2023
"Gadwall","E",2023
"Mallard","E",2023
"Greater/Lesser Scaup","E",2023
"Bufflehead","E",2023
"Common Merganser","E",2023
"Pied-billed Grebe","E",2023
"Anna's Hummingbird","E",2023
"American Coot","E",2023
"Glaucous-winged Gull","E",2023
"Double-crested Cormorant","E",2023
"Great Blue Heron","E",2023
"Downy Woodpecker","E",2023
"Northern Flicker","L",2023
"American Crow","E",2023
"Black-capped Chickadee","E",2023
"Tree Swallow","E",2023
"Violet-green Swallow","E",2023
"Marsh Wren","L",2023
"Bewick's Wren","L",2023
"American Robin","E",2023
"House Finch","L",2023
"American Goldfinch","E",2023
"Golden-crowned Sparrow","E",2023
"Song Sparrow","E",2023
"Spotted Towhee","E",2023
"Red-winged Blackbird","E",2023
"Yellow-rumped Warbler","L",2023
